disk,module,rsu_lec_boundary_x_mm,rsu_lec_boundary_y_mm,dz_mm,facing,handedness,enabled,comment
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU_CORR,-60.500,-208.620,3.203,+z,left,true,corrugation_upper_module_opposite_lower_flat_y-208.620
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU_CORR,-105.500,-191.235,-3.203,+z,left,true,corrugation_lower_module_opposite_upper_flat_y-191.235_absorbed_overlap
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU_CORR,105.496,-191.235,-4.203,-z,right,true,corrugation_lower_module_opposite_upper_flat_y-191.235_absorbed_overlap
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU_CORR,-125.500,-173.850,3.203,+z,left,true,corrugation_upper_module_opposite_lower_flat_y-173.850
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU_CORR,127.516,-173.850,4.203,-z,right,true,corrugation_upper_module_opposite_lower_flat_y-173.850_edge_right
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU_CORR,-144.520,-156.465,-3.203,+z,left,true,corrugation_lower_module_opposite_upper_flat_y-156.465_edge_left
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU_CORR,88.496,-156.465,-4.203,-z,right,true,corrugation_lower_module_opposite_upper_flat_y-156.465
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU_CORR,19.520,-156.465,-3.203,+z,left,true,corrugation_lower_module_opposite_upper_flat_y-156.465_edge_right
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU_CORR,-164.520,-139.080,3.203,+z,left,true,corrugation_upper_module_opposite_lower_flat_y-139.080_edge_left
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU_CORR,88.496,-139.080,4.203,-z,right,true,corrugation_upper_module_opposite_lower_flat_y-139.080
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU_CORR,39.520,-139.080,3.203,+z,left,true,corrugation_upper_module_opposite_lower_flat_y-139.080_edge_right
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU_CORR,-165.500,-121.695,-3.203,+z,left,true,corrugation_lower_module_opposite_upper_flat_y-121.695
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU_CORR,106.516,-121.695,-4.203,-z,right,true,corrugation_lower_module_opposite_upper_flat_y-121.695
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU_CORR,57.540,-121.695,-3.203,+z,left,true,corrugation_lower_module_opposite_upper_flat_y-121.695_edge_right
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU_CORR,-191.500,-104.310,3.203,+z,left,true,corrugation_upper_module_opposite_lower_flat_y-104.310_absorbed_overlap
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU_CORR,40.476,-104.310,4.203,-z,right,true,corrugation_upper_module_opposite_lower_flat_y-104.310_absorbed_overlap
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU_CORR,70.500,-104.310,3.203,+z,left,true,corrugation_upper_module_opposite_lower_flat_y-104.310_absorbed_overlap
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU_CORR,-195.520,-86.925,-3.203,+z,left,true,corrugation_lower_module_opposite_upper_flat_y-86.925_edge_left
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU_CORR,-2.504,-86.925,-4.203,-z,right,true,corrugation_lower_module_opposite_upper_flat_y-86.925
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU_CORR,27.520,-86.925,-3.203,+z,left,true,corrugation_lower_module_opposite_upper_flat_y-86.925
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU_CORR,200.536,-86.925,-4.203,-z,right,true,corrugation_lower_module_opposite_upper_flat_y-86.925_edge_right
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU_CORR,-208.500,-69.540,3.203,+z,left,true,corrugation_upper_module_opposite_lower_flat_y-69.540_absorbed_overlap
