disk,module,x_min_mm,y_min_mm,dz_mm,facing,enabled,comment
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-65.000,-217.000,0.000,+z,true,generated
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-150.000,-187.000,0.000,+z,true,generated_edge
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-70.000,-187.000,1.000,+z,true,generated
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,20.000,-187.000,0.000,+z,true,generated_edge
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-181.000,-157.000,0.000,+z,true,generated_edge
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-78.000,-157.000,1.000,+z,true,generated
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,51.000,-157.000,0.000,+z,true,generated
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-194.000,-127.000,0.000,+z,true,generated
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-65.000,-127.000,1.000,+z,true,generated
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,64.000,-127.000,0.000,+z,true,generated
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-219.000,-97.000,0.000,+z,true,generated_edge
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-129.000,-97.000,1.000,+z,true,generated
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,0.000,-97.000,0.000,+z,true,generated
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,89.000,-97.000,-1.000,+z,true,generated_edge
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-230.000,-67.000,0.000,+z,true,generated_edge
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-129.000,-67.000,1.000,+z,true,generated
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,0.000,-67.000,0.000,+z,true,generated
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,100.000,-67.000,-1.000,+z,true,generated_edge
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-194.000,-37.000,0.000,+z,true,generated
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,64.000,-37.000,0.000,+z,true,generated
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-194.000,7.000,0.000,+z,true,generated
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,64.000,7.000,0.000,+z,true,generated
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-230.000,37.000,0.000,+z,true,generated_edge
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-129.000,37.000,1.000,+z,true,generated
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,0.000,37.000,0.000,+z,true,generated
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,100.000,37.000,-1.000,+z,true,generated_edge
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-219.000,67.000,0.000,+z,true,generated_edge
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-129.000,67.000,1.000,+z,true,generated
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,0.000,67.000,0.000,+z,true,generated
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,89.000,67.000,-1.000,+z,true,generated_edge
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-194.000,97.000,0.000,+z,true,generated
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-65.000,97.000,1.000,+z,true,generated
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,64.000,97.000,0.000,+z,true,generated
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-181.000,127.000,0.000,+z,true,generated_edge
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-78.000,127.000,1.000,+z,true,generated
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,51.000,127.000,0.000,+z,true,generated
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-150.000,157.000,0.000,+z,true,generated_edge
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-70.000,157.000,1.000,+z,true,generated
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,20.000,157.000,0.000,+z,true,generated_edge
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-65.000,187.000,0.000,+z,true,generated
InnerTrackerEndcapP_disk1,EIC_LAS_6RSU,-65.000,-217.000,0.000,+z,true,generated
InnerTrackerEndcapP_disk1,EIC_LAS_6RSU,-150.000,-187.000,0.000,+z,true,generated_edge
InnerTrackerEndcapP_disk1,EIC_LAS_6RSU,-70.000,-187.000,1.000,+z,true,generated
InnerTrackerEndcapP_disk1,EIC_LAS_6RSU,20.000,-187.000,0.000,+z,true,generated_edge
InnerTrackerEndcapP_disk1,EIC_LAS_6RSU,-181.000,-157.000,0.000,+z,true,generated_edge
InnerTrackerEndcapP_disk1,EIC_LAS_6RSU,-78.000,-157.000,1.000,+z,true,generated
InnerTrackerEndcapP_disk1,EIC_LAS_6RSU,51.000,-157.000,0.000,+z,true,generated
InnerTrackerEndcapP_disk1,EIC_LAS_6RSU,-194.000,-127.000,0.000,+z,true,generated
InnerTrackerEndcapP_disk1,EIC_LAS_6RSU,-65.000,-127.000,1.000,+z,true,generated
InnerTrackerEndcapP_disk1,EIC_LAS_6RSU,64.000,-127.000,0.000,+z,true,generated
InnerTrackerEndcapP_disk1,EIC_LAS_6RSU,-219.000,-97.000,0.000,+z,true,generated_edge
InnerTrackerEndcapP_disk1,EIC_LAS_6RSU,-129.000,-97.000,1.000,+z,true,generated
InnerTrackerEndcapP_disk1,EIC_LAS_6RSU,0.000,-97.000,0.000,+z,true,generated
InnerTrackerEndcapP_disk1,EIC_LAS_6RSU,89.000,-97.000,-1.000,+z,true,generated_edge
InnerTrackerEndcapP_disk1,EIC_LAS_6RSU,-230.000,-67.000,0.000,+z,true,generated_edge
InnerTrackerEndcapP_disk1,EIC_LAS_6RSU,-129.000,-67.000,1.000,+z,true,generated
InnerTrackerEndcapP_disk1,EIC_LAS_6RSU,0.000,-67.000,0.000,+z,true,generated
InnerTrackerEndcapP_disk1,EIC_LAS_6RSU,100.000,-67.000,-1.000,+z,true,generated_edge
InnerTrackerEndcapP_disk1,EIC_LAS_6RSU,-194.000,-37.000,0.000,+z,true,generated
InnerTrackerEndcapP_disk1,EIC_LAS_6RSU,64.000,-37.000,0.000,+z,true,generated
InnerTrackerEndcapP_disk1,EIC_LAS_6RSU,-194.000,7.000,0.000,+z,true,generated
InnerTrackerEndcapP_disk1,EIC_LAS_6RSU,64.000,7.000,0.000,+z,true,generated
InnerTrackerEndcapP_disk1,EIC_LAS_6RSU,-230.000,37.000,0.000,+z,true,generated_edge
InnerTrackerEndcapP_disk1,EIC_LAS_6RSU,-129.000,37.000,1.000,+z,true,generated
InnerTrackerEndcapP_disk1,EIC_LAS_6RSU,0.000,37.000,0.000,+z,true,generated
InnerTrackerEndcapP_disk1,EIC_LAS_6RSU,100.000,37.000,-1.000,+z,true,generated_edge
