disk,module,x_min_mm,y_min_mm,dz_mm,facing,enabled,comment
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-81.000,-223.620,2.125,+z,true,corrugation_upper_module_opposite_lower_flat_y-208.620
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-51.000,-223.620,3.125,+z,true,corrugation_upper_module_opposite_lower_flat_y-208.620_edge_right
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-121.000,-206.235,-2.125,+z,true,corrugation_lower_module_opposite_upper_flat_y-191.235
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-11.000,-206.235,-3.125,+z,true,corrugation_lower_module_opposite_upper_flat_y-191.235_edge_right
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-144.000,-188.850,2.125,+z,true,corrugation_upper_module_opposite_lower_flat_y-173.850
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-15.000,-188.850,3.125,+z,true,corrugation_upper_module_opposite_lower_flat_y-173.850
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,15.000,-188.850,2.125,+z,true,corrugation_upper_module_opposite_lower_flat_y-173.850_edge_right
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-164.000,-171.465,-2.125,+z,true,corrugation_lower_module_opposite_upper_flat_y-156.465
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-35.000,-171.465,-3.125,+z,true,corrugation_lower_module_opposite_upper_flat_y-156.465
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,35.000,-171.465,-2.125,+z,true,corrugation_lower_module_opposite_upper_flat_y-156.465_edge_right
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-181.000,-154.080,2.125,+z,true,corrugation_upper_module_opposite_lower_flat_y-139.080_edge_left
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-131.000,-154.080,3.125,+z,true,corrugation_upper_module_opposite_lower_flat_y-139.080
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-2.000,-154.080,2.125,+z,true,corrugation_upper_module_opposite_lower_flat_y-139.080
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,48.000,-154.080,3.125,+z,true,corrugation_upper_module_opposite_lower_flat_y-139.080_edge_right
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-194.000,-136.695,-2.125,+z,true,corrugation_lower_module_opposite_upper_flat_y-121.695
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-65.000,-136.695,-3.125,+z,true,corrugation_lower_module_opposite_upper_flat_y-121.695
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,64.000,-136.695,-2.125,+z,true,corrugation_lower_module_opposite_upper_flat_y-121.695
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-201.000,-119.310,2.125,+z,true,corrugation_upper_module_opposite_lower_flat_y-104.310_edge_left
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-131.000,-119.310,3.125,+z,true,corrugation_upper_module_opposite_lower_flat_y-104.310
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-2.000,-119.310,2.125,+z,true,corrugation_upper_module_opposite_lower_flat_y-104.310
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,68.000,-119.310,3.125,+z,true,corrugation_upper_module_opposite_lower_flat_y-104.310_edge_right
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-207.000,-101.925,-2.125,+z,true,corrugation_lower_module_opposite_upper_flat_y-86.925
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,-78.000,-101.925,-3.125,+z,true,corrugation_lower_module_opposite_upper_flat_y-86.925
InnerTrackerEndcapN_disk1,EIC_LAS_6RSU,51.000,-101.925,-2.125,+z,true,corrugation_lower_module_opposite_upper_flat_y-86.925
